,Reactant SMILES,Product SMILES,Solvent SMILES,Additive SMILES,Metal,Ligand SMILES,Catalyst SMILES(RDKit),Pressure/atm,Temperature/C,S/C,Conv.,Yield,ddG,ee,Scaffold type,Multi-scaffold type,Dihedral Tag,Match Pattern,Match Pattern Back,Match Index,Olefin Type,DOI
1686,COC(=O)/C=C(/C)NC(C)=O,COC(=O)C[C@@H](C)NC(C)=O,CCOC(C)=O,,Rh,C[C@@H](Np1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,C[C@@H](Np1([Rh+]p2(N[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,1.0,25.0,100.0,0.88,,0.03553905,0.03,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1039/b714519e
1687,COC(=O)/C=C(/C)NC(C)=O,COC(=O)C[C@@H](C)NC(C)=O,ClCCl,,Rh,C[C@@H](Np1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,C[C@@H](Np1([Rh+]p2(N[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,1.0,25.0,100.0,0.98,,0.24009199,0.2,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1039/b714519e
1688,COC(=O)/C=C(/C)NC(C)=O,COC(=O)C[C@@H](C)NC(C)=O,ClCCl,,Rh,C[C@@H](Np1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,C[C@@H](Np1([Rh+]p2(N[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,1.0,25.0,100.0,0.4,,0.6040658,0.47,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1039/b714519e
3214,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,ClCCl,,Rh,c1ccc(Op2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(Op2([Rh+]p3(Oc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.44621066,0.84,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1002/chem.201102018
3215,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,ClCCl,,Rh,c1ccc(COp2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.74351924,0.9,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1002/chem.201201032
3223,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,c1ccc(Op2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(Op2([Rh+]p3(Oc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,0.25,,1.0998727,0.73,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/chem.201102018
3225,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,c1ccc(COp2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,100.0,1.0,,1.40708549,0.83,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/chem.201201032
4084,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,,,1.02712616,0.7,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4085,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,0.99,,2.16934032,0.95,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4087,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCOC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,0.99,,2.16934032,0.95,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4088,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,C1CCOC1,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,0.99,,1.96399716,0.93,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4089,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,0.99,,1.88185187,0.92,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4090,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCCOCCO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,100.0,,,1.20835316,0.77,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4091,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
4098,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCOC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,0.99,,2.30450133,0.96,binol type,"['binol type', 'single P type']",1,,,,tri-sub,10.1002/adsc.200390026
4120,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,3.13437597,0.99,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1016/S0957-4166(03)00253-2
4393,C=C(NC(C)=O)c1ccccc1,CC(=O)NC(C)c1ccccc1,ClCCl,,Rh,c1ccc(COp2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,c1ccc(COp2([Rh+]p3(OCc4ccccc4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,1.0,25.0,250.0,,,1.76893686,0.9,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1002/anie.200501798
5179,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.02712616,0.7,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5180,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5182,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCOC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5183,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,C1CCOC1,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.96399716,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5184,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.88185187,0.92,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5185,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCCOCCO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.20835316,0.77,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5186,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5193,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.30450133,0.96,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5216,C=C(NC(C)=O)C(=O)O,CC[C@@H](NC(C)=O)C(=O)O,CCOC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,3.13437597,0.99,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1002/adsc.200390026
5425,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5426,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,ClCCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,1.68395754,0.89,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5427,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,1.15225067,0.75,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5428,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCCCOCCO,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,1.20835316,0.77,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5429,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,C1CCOC1,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.96399716,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5430,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,,1.0,1.88185187,0.92,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1002/adsc.200390026
5431,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,CCOC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,1.96399716,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5432,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(C)=O,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,0.99,,2.16934032,0.95,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5433,COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,Cc1ccccc1,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,0.99,,1.96399716,0.93,binol type,"['binol type', 'single P type']",-1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",tri-sub,10.1021/ja002507f
5440,C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,ClCCl,,Rh,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1.0,25.0,20.0,1.0,,3.13437597,0.99,binol type,"['binol type', 'single P type']",1,"[#15]1->,:[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1",,"[2,6]",di-sub,10.1016/S0957-4166(03)00253-2
